playoffs,side,teamname,team_wr,champ_top,champ_jng,champ_mid,champ_bot,champ_sup,wr_champ_top,wr_champ_jng,wr_champ_mid,wr_champ_bot,wr_champ_sup,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,wr_top,wr_jng,wr_mid,wr_bot,wr_sup,comp_early_power,result
0,Blue,FC Schalke 04 Esports,0.5,Gnar,Jarvan IV,Viktor,Kai'Sa,Alistar,0.5,0.5,0.5,0.39,0.5,0.0,-1257.0,32.0,-6.0,3.0,5.0,6.0,0.5,0.5,0.5,0.5,0.5,-209.2572,0
0,Red,KOI,0.5,Jayce,Olaf,Orianna,Samira,Rell,0.5,0.5,0.5,0.5,0.5,1.0,1257.0,-32.0,6.0,6.0,8.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Rogue,0.5,Renekton,Lillia,Azir,Vayne,Gragas,0.5,0.5,0.5,0.5,0.5,1.0,-2821.0,-2229.0,-39.0,1.0,1.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,G2 Esports,0.5,Quinn,Nidalee,Ekko,Jhin,Rell,0.5,0.5,0.5,0.5,0.5,0.0,2821.0,2229.0,39.0,4.0,7.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Excel Esports,0.5,Jax,Hecarim,Orianna,Kai'Sa,Gragas,0.5,0.5,0.5,0.3509,0.5,0.0,-1665.0,-174.0,29.0,2.0,4.0,5.0,0.5,0.5,0.5,0.5,0.5,-169.3458,0
0,Red,Fnatic,0.5,Volibear,Lillia,Seraphine,Samira,Alistar,0.5,0.5,0.5,0.5,0.5,1.0,1665.0,174.0,-29.0,5.0,6.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,FC Schalke 04 Esports,0.5,Gnar,Nidalee,Zoe,Kai'Sa,Galio,0.5,0.5,0.5,0.3159,0.5,0.0,2053.0,-857.0,13.0,1.0,4.0,1.0,0.5,0.5,0.5,0.5,0.5,-349.8023,0
0,Red,SK Gaming,0.5,Renekton,Skarner,Azir,Jhin,Leona,0.5,0.5,0.5,0.5,0.5,1.0,-2053.0,857.0,-13.0,1.0,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Excel Esports,0.5,Renekton,Lillia,Syndra,Kalista,Jarvan IV,0.5,0.5,0.5,0.5,0.5,1.0,-2631.0,-1242.0,-20.0,3.0,6.0,7.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,KOI,0.5,Gragas,Kayn,Orianna,Kai'Sa,Alistar,0.5,0.5,0.5,0.2845,0.5,0.0,2631.0,1242.0,20.0,7.0,12.0,3.0,0.5,0.5,0.5,0.5,0.5,-286.8822,1
0,Blue,Astralis,0.5,Renekton,Skarner,Corki,Xayah,Leona,0.5,0.5,0.5,0.5,0.5,0.0,-489.0,-1834.0,-36.0,5.0,7.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,G2 Esports,0.5,Gragas,Jarvan IV,Ryze,Jhin,Alistar,0.5,0.5,0.5,0.5,0.5,1.0,489.0,1834.0,36.0,5.0,10.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Misfits Gaming,0.5,Camille,Udyr,Orianna,Samira,Rell,0.5,0.5,0.5,0.5,0.5,0.0,-1999.0,-430.0,-40.0,2.0,3.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Rogue,0.5,Gnar,Lillia,Syndra,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,1999.0,430.0,40.0,4.0,7.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Team Vitality,0.5,Aatrox,Lillia,Seraphine,Xayah,Rell,0.5,0.5,0.5,0.5,0.5,0.0,-1523.0,1235.0,-56.0,11.0,15.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Fnatic,0.5,Wukong,Olaf,Ryze,Kai'Sa,Alistar,0.5,0.5,0.5,0.3553,0.5,1.0,1523.0,-1235.0,56.0,5.0,7.0,11.0,0.5,0.5,0.5,0.5,0.5,-220.0544,0
0,Blue,Excel Esports,0.5,Camille,Lillia,Orianna,Samira,Alistar,0.5,0.5,0.5,0.5,0.5,0.0,46.0,-1128.0,-13.0,4.0,5.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Astralis,0.5,Shen,Hecarim,Syndra,Kai'Sa,Rell,0.5,0.5,0.5,0.3203,0.5,1.0,-46.0,1128.0,13.0,5.0,10.0,4.0,0.5,0.5,0.5,0.5,0.5,-83.6036,1
0,Blue,Misfits Gaming,0.5,Gragas,Graves,Syndra,Tristana,Rell,0.3861,0.5,0.5,0.5,0.5,0.0,-357.0,882.0,-23.0,5.0,7.0,6.0,0.5,0.5,0.5,0.5,0.5,-412.5378,0
0,Red,SK Gaming,0.5,Aatrox,Lillia,Azir,Kalista,Jarvan IV,0.5,0.5,0.5,0.5,0.5,1.0,357.0,-882.0,23.0,6.0,12.0,7.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Rogue,0.5,Shen,Lillia,Azir,Senna,Tahm Kench,0.5,0.5,0.5,0.5,0.5,1.0,1179.0,421.0,-3.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Team Vitality,0.5,Camille,Udyr,Corki,Ezreal,Bard,0.5,0.5,0.5,0.5,0.5,0.0,-1179.0,-421.0,3.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,KOI,0.5,Gnar,Udyr,Viktor,Senna,Tahm Kench,0.5,0.5,0.5,0.5,0.5,0.0,-240.0,632.0,0.0,4.0,3.0,6.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Fnatic,0.5,Sett,Lillia,Syndra,Samira,Alistar,0.5,0.6182,0.5,0.5,0.3388,1.0,240.0,-632.0,0.0,6.0,12.0,4.0,0.5,0.5,0.5,0.5,0.5,68.6539,0
0,Blue,G2 Esports,0.5,Gragas,Nidalee,Lucian,Senna,Sion,0.3442,0.5,0.5,0.5,0.5,1.0,2524.0,2006.0,0.0,3.0,6.0,3.0,0.5,0.5,0.5,0.5,0.5,-365.8237,1
