gameid,playoffs,side,teamname,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,result
LOLTMNT05_179123,1,Red,Karmine Corp,0.0,978.0,1111.0,44.0,3.0,6.0,6.0,1
LOLTMNT05_179124,1,Blue,G2 Esports,1.0,2810.0,3119.0,47.0,3.0,5.0,1.0,0
LOLTMNT05_179124,1,Red,Karmine Corp,0.0,-2810.0,-3119.0,-47.0,1.0,1.0,3.0,1
LOLTMNT05_179126,1,Blue,G2 Esports,1.0,3154.0,2354.0,41.0,7.0,10.0,2.0,1
LOLTMNT05_179126,1,Red,Karmine Corp,0.0,-3154.0,-2354.0,-41.0,2.0,3.0,7.0,0
LOLTMNT05_184082,0,Blue,GiantX,1.0,2079.0,2422.0,29.0,8.0,17.0,2.0,1
LOLTMNT05_184082,0,Red,Fnatic,0.0,-2079.0,-2422.0,-29.0,2.0,4.0,8.0,0
LOLTMNT05_184084,0,Blue,GiantX,1.0,-2412.0,1558.0,5.0,2.0,1.0,3.0,0
LOLTMNT05_184084,0,Red,Fnatic,0.0,2412.0,-1558.0,-5.0,3.0,6.0,2.0,1
LOLTMNT05_184086,0,Blue,GiantX,0.0,1416.0,1981.0,78.0,2.0,5.0,2.0,1
LOLTMNT05_184086,0,Red,Fnatic,1.0,-1416.0,-1981.0,-78.0,2.0,5.0,2.0,0
LOLTMNT05_183065,0,Blue,Team Vitality,0.0,4392.0,3138.0,36.0,5.0,6.0,1.0,1
LOLTMNT05_183065,0,Red,Karmine Corp,1.0,-4392.0,-3138.0,-36.0,1.0,1.0,5.0,0
LOLTMNT05_183066,0,Blue,Team Vitality,0.0,2989.0,1042.0,4.0,4.0,5.0,2.0,0
LOLTMNT05_183066,0,Red,Karmine Corp,1.0,-2989.0,-1042.0,-4.0,2.0,2.0,4.0,1
LOLTMNT05_184096,0,Blue,Team Vitality,1.0,-1220.0,-1045.0,-26.0,3.0,5.0,3.0,0
LOLTMNT05_184096,0,Red,Karmine Corp,0.0,1220.0,1045.0,26.0,3.0,7.0,3.0,1
LOLTMNT05_183084,0,Blue,Movistar KOI,0.0,2085.0,1446.0,33.0,5.0,6.0,3.0,0
LOLTMNT05_183084,0,Red,Natus Vincere,1.0,-2085.0,-1446.0,-33.0,3.0,3.0,5.0,1
LOLTMNT05_183085,0,Blue,Movistar KOI,0.0,2300.0,254.0,36.0,2.0,4.0,1.0,1
LOLTMNT05_183085,0,Red,Natus Vincere,1.0,-2300.0,-254.0,-36.0,1.0,1.0,2.0,0
LOLTMNT05_184106,0,Blue,Movistar KOI,1.0,-1665.0,-1669.0,-1.0,9.0,10.0,11.0,0
LOLTMNT05_184106,0,Red,Natus Vincere,0.0,1665.0,1669.0,1.0,11.0,16.0,9.0,1
LOLTMNT05_184124,0,Blue,Team Heretics,1.0,3899.0,2374.0,49.0,4.0,4.0,1.0,0
LOLTMNT05_184124,0,Red,SK Gaming,0.0,-3899.0,-2374.0,-49.0,1.0,0.0,4.0,1
LOLTMNT05_184135,0,Blue,SK Gaming,0.0,-956.0,-122.0,-4.0,1.0,1.0,1.0,0
LOLTMNT05_184135,0,Red,Team Heretics,1.0,956.0,122.0,4.0,1.0,1.0,1.0,1
LOLTMNT05_184139,0,Blue,SK Gaming,0.0,-5697.0,-5112.0,-66.0,3.0,6.0,13.0,0
LOLTMNT05_184139,0,Red,Team Heretics,1.0,5697.0,5112.0,66.0,13.0,20.0,3.0,1
LOLTMNT05_183138,0,Blue,Movistar KOI,0.0,2387.0,4814.0,66.0,4.0,2.0,1.0,1
LOLTMNT05_183138,0,Red,Fnatic,1.0,-2387.0,-4814.0,-66.0,1.0,2.0,4.0,0
LOLTMNT05_183148,0,Blue,Movistar KOI,1.0,-440.0,-31.0,32.0,5.0,11.0,5.0,1
LOLTMNT05_183148,0,Red,Fnatic,0.0,440.0,31.0,-32.0,5.0,9.0,5.0,0
